com.samsung.shealth.activity.day_summary,6260063,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,727,,480877,90,0,,2022-08-17 15:49:07.443,,2022-08-14 21:39:01.708,,,,-1,60000,8,,,,536.304,,27.184452,19acbfe9-40cf-4db7-8c38-26f3ae83aee3.extra_data.json,V56QTfKo51,0,com.sec.android.app.shealth,480877,23580000,19acbfe9-40cf-4db7-8c38-26f3ae83aee3,1660521600000,
,,,,3033,,1795144,90,0,,2022-08-15 07:45:14.406,,2022-08-14 21:39:01.823,,,,-1,300000,32,,,,2342.1484,,106.92993,4357a688-789d-472b-8e78-5d454b0969d9.extra_data.json,V56QTfKo51,4185,com.sec.android.app.shealth,1790959,35160000,4357a688-789d-472b-8e78-5d454b0969d9,1658275200000,
,,,,331,,220777,90,0,,2022-08-15 07:45:14.435,,2022-08-14 21:39:01.863,,,,-1,23345,3,,,,246.33594,,11.806641,5a89dd17-625b-45d3-a5d3-d2daf0ae8f34.extra_data.json,V56QTfKo51,0,com.sec.android.app.shealth,220777,37920000,5a89dd17-625b-45d3-a5d3-d2daf0ae8f34,1658361600000,
,,,,1976,,1296187,90,0,,2022-08-15 07:45:14.579,,2022-08-14 21:39:01.953,,,,-1,120000,23,,,,1510.8164,,70.21948,63cf234a-fa50-4ec3-8466-6400fa125087.extra_data.json,V56QTfKo51,1600,com.sec.android.app.shealth,1294587,35040000,63cf234a-fa50-4ec3-8466-6400fa125087,1658620800000,
,,,,399,,266133,90,0,,2022-08-15 07:45:14.625,,2022-08-14 21:39:01.978,,,,-1,24679,4,,,,300.3711,,14.101807,35565e1a-72a6-428b-ac82-665bdaa48855.extra_data.json,V56QTfKo51,0,com.sec.android.app.shealth,266133,44100000,35565e1a-72a6-428b-ac82-665bdaa48855,1658707200000,
,,,,6031,,3805092,90,0,,2022-08-15 07:45:14.853,,2022-08-14 21:39:02.095,,,,-1,420000,70,,,,4584.0547,,212.6416,e0fa346f-325d-49a6-a2e5-fd5926ca5975.extra_data.json,V56QTfKo51,0,com.sec.android.app.shealth,3805092,32520000,e0fa346f-325d-49a6-a2e5-fd5926ca5975,1659052800000,
,,,,9180,,5439969,90,0,,2022-08-15 07:45:14.944,,2022-08-14 21:39:02.121,,,,-1,779217,100,,,,7085.274,,326.70853,84892cdf-e0ae-438b-9e6f-1d488ac6a5b5.extra_data.json,V56QTfKo51,3600,com.sec.android.app.shealth,5436369,34020000,84892cdf-e0ae-438b-9e6f-1d488ac6a5b5,1659139200000,
,,,,2466,,1557520,90,0,,2022-08-15 07:45:15.002,,2022-08-14 21:39:02.142,,,,-1,180000,27,,,,1915.8281,,90.36279,099e1b06-749f-4558-bc1d-855f19f6ce75.extra_data.json,V56QTfKo51,23600,com.sec.android.app.shealth,1533920,34320000,099e1b06-749f-4558-bc1d-855f19f6ce75,1659225600000,
,,,,2639,,1659863,90,0,,2022-08-15 07:45:15.060,,2022-08-14 21:39:02.182,,,,-1,180000,30,,,,1988.2578,,93.34668,d3905277-b1d9-4e2d-b4fd-846e72d4419e.extra_data.json,V56QTfKo51,0,com.sec.android.app.shealth,1659863,19560000,d3905277-b1d9-4e2d-b4fd-846e72d4419e,1659312000000,
,,,,760,,499553,90,0,,2022-08-15 07:45:15.293,,2022-08-14 21:39:02.478,,,,-1,60000,8,,,,575.25,,26.842285,4371d9b2-5d0c-4f7e-b36b-aa155ec52e89.extra_data.json,V56QTfKo51,0,com.sec.android.app.shealth,499553,34200000,4371d9b2-5d0c-4f7e-b36b-aa155ec52e89,1659744000000,
